variante,nome_padrao
dynamed,DynaMed
jstor,JSTOR
economatica,Economática
economática,Economática
uptodate,UpToDate
springer,Springer Link
springerlink,Springer Link
springer link,Springer Link
e-livros,E-livro
elivros,E-livro
e-livro,E-livro
naxos,Naxos Music Library
naxos music library,Naxos Music Library
wiley,Wiley Online Library
wiley online,Wiley Online Library
cengage,BD Cengage
bd cengage,BD Cengage
ebsco ebook collection,EBSCO eBooks
ebsco ebooks,EBSCO eBooks
ebsco e-books,EBSCO eBooks
jstor e-books,JSTOR e-Books
jstor ebooks,JSTOR e-Books
proview,BD Proview
bd proview,BD Proview
proquest o'reilly,ProQuest O'Reilly
proquest oreilly,ProQuest O'Reilly
pqdt,ProQuest Dissertations & Theses Global (PQDT)
proquest dissertations,ProQuest Dissertations & Theses Global (PQDT)
ieee,IEEE Xplore
ieee xplore,IEEE Xplore
heinonline,HeinOnline
cambridge,Cambridge Core
cambridge core,Cambridge Core
scopus,Scopus
web of science,Web of Science
wos,Web of Science
sciencedirect,ScienceDirect Books
science direct,ScienceDirect Books
elsevier sciencedirect,ScienceDirect Books
taylor francis,Taylor and Francis
taylor & francis,Taylor and Francis
arvore de livros,Árvore de Livros
árvore,Árvore de Livros
forum,Fórum
fórum,Fórum
