tipo,similaridade,valor_1,valor_2
biblioteca_digital,0.93,E-livro,e-Livros
instituicao,0.97,Serviço Nacional de Aprendizagem Comercial (SENAC),Serviço Nacional de Aprendizagem Comercial (SENAC-SC)
instituicao,0.94,Universidade Federal do ABC (UFABC),Universidade Federal do Acre (UFAC)
instituicao,0.93,Serviço Nacional de Aprendizagem Comercial do Ceará (SENAC-CE),Serviço Nacional de Aprendizagem Comercial do Paraná (SENAC-PR)
instituicao,0.93,Universidade Federal Rural do Rio de Janeiro (UFRRJ),Universidade Federal do Rio de Janeiro (UFRJ)
instituicao,0.92,Fundação Universidade Regional de Blumenau,Fundação Universidade Regional de Blumenau (FURB)
instituicao,0.92,Serviço Nacional de Aprendizagem Comercial do Maranhão (SENAC-MA),Serviço Nacional de Aprendizagem Comercial do Paraná (SENAC-PR)
instituicao,0.92,Universidade Federal de Santa Catarina (UFSC),Universidade Federal de Santa Maria (UFSM)
instituicao,0.92,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará","Instituto Federal de Educação, Ciência e Tecnologia do Tocantins"
instituicao,0.91,Universidade Federal do Acre (UFAC),Universidade Federal do Pará (UFPA)
instituicao,0.91,Centro Universitário UNIESP,Centro Universitário UNIEURO
instituicao,0.91,Centro Universitário UNIESP,Centro Universitário UniSATC
instituicao,0.91,Universidade Federal do Oeste da Bahia (UFOB),Universidade Federal do Sul da Bahia (UFSB)
instituicao,0.90,Serviço Nacional de Aprendizagem Comercial (SENAC-SC),Serviço Nacional de Aprendizagem Comercial do Ceará (SENAC-CE)
instituicao,0.90,Universidade Federal do Pará (UFPA),Universidade Federal do Piauí (UFPI)
